step,object,x,y,zoom,page,question,answer,alt_text,layer1_button,layer1_content,layer2_button,layer2_content,clip_start,clip_end,loop
paso,objeto,x,y,zoom,pagina,pregunta,respuesta,texto_alt,boton1,contenido1,boton2,contenido2,inicio_clip,fin_clip,bucle
1,q1,0.5064273870846142,0.4904366980714248,1.35,,"What is this object (stirrup, shape, ceramic vessel)?","This object is considered a Moche Stirrup Spout vessel. It is assigned this distinction because of its unique spout that has two tubes connecting to one opening or spout. Stirrup pots are unlike many other Moche vessels. Many water vessels in the Moche culture were made to be stagnant, unmoving from their intentional storage space. The unique part of the Stirrup vessel is the stirrup spout itself. The spout doubles as a handle that is in a perfectly human design. The spout fits in the human hand well and allows for easy transportation. Stirrup vessels also tend to be smaller in size which make them far more easy to transport, rather than long-term and larger water storage vessels. ",,Learn more,moche-stirrup-vessel-ktbt-more-information-about.md,Moche context,moche-stirrup-vessel-ktbt-who-were-the.md,,,
2,moche,0.5020409435493075,0.6232632697706162,2.919647485743909,,What was the context of the creation of this vessel?,"The moche people famously applied artwork to the sides of these vessels with great skill and attention to detail. This style of vase would have been considered an artisan good, crafted by a specialized worker. The formation of the vessel’s shape would also require the skill of a professional. While many similar models make use of physical sculpting of the ceramic to resemble faces and deities, this particular artifact was detailed using a colored liquid clay known as slip to provide red markings across white/beige ceramic. Different degrees of precision and detail reflect the variety of social contexts in which these vessels were employed.
",,,,,,,,
3,screenshot-20260516-152308,0.20550079632910365,0.4811572839804006,1.25,,Who would have used this type of vessel in Moche society?,"It is assumed that single-spouts stirrup vessels were considered more of an artistic medium rather than a utilitarian object. Fine-line slip painting was used to produce intricate drawings of Moche iconography on the bodies of these vessels. These may be a component associated with moche burial tradition, as people of great wealth and status are accompanied by intricate artworks such as these vessels in their tombs. 
",,Learn more,moche-stirrup-vessel-ktbt-more-on-burial.md,,,,,
4,valley,0.5057114435844895,0.4894756153471787,0.9,,Where are stirrup vessels typically found?,placeholder answer,,,,,,,,
5,q5,0.4424470954577917,0.6405486118973867,3.5035769828926906,,What is the ritual significance of the object?,"Based on comparative vessels and other moche Iconography, we believe the images depicted on vessel #3 are lizards. Though there is little of the image visible on the object surface due to weathering,  we noticed two vertical appendages seeming to reveal a lizard’s foot. Another part that is visible are some squiggly lines above what we once thought were rabbit’s ears. These lines are shown to be that on the lizard’s stomach. The design of the lizard is almost identical to that seen in an iconographic image from Harvard’s Donna archive. There, the clear image of the lizard's foot, tail, stomach lines, and eye that are all only partially seen on our vessel are clearly depicted. The presence of a lizard on Object #3 is confirmed again by a Moche stirrup vessel now housed at the Peabody museum. ",,Learn more,moche-stirrup-vessel-ktbt-learn-more-art.md,Go deeper,moche-stirrup-vessel-ktbt-go-deeper-lizard.md,,,
